,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
1,84.089996,85.760002,83.769997,84.610001,5128900,81.80555,170.37000,10/12/18,TGT,0.021859923,0.021859878,-0.295648063,E
2,84.559998,85.309998,84.32,84.599998,3345500,81.795876,169.91000,10/15/18,TGT,-0.000118256,-0.000118225,-0.613978975,D
3,85.139999,86.07,84.550003,85.809998,2691700,82.965775,171.88000,10/16/18,TGT,0.014302665,0.014302601,-0.615985822,D
4,85.559998,85.949997,83.540001,84.419998,4191800,81.621841,170.37000,10/17/18,TGT,-0.016198655,-0.016198579,-0.420976669,E
5,83.589996,84.580002,82,83.360001,4242600,80.596977,167.94000,10/18/18,TGT,-0.012556247,-0.012556231,-0.263572485,E
6,83.730003,83.769997,81.919998,82.019997,5464400,79.301392,165.78999,10/19/18,TGT,-0.016074858,-0.016074904,0.437178159,D
7,82.5,83.779999,82.5,83.230003,3420200,80.471291,167.01000,10/22/18,TGT,0.014752566,0.014752573,-0.311639608,E
8,81.279999,82.949997,81.07,82.669998,4517500,79.929848,165.62000,10/23/18,TGT,-0.0067284,-0.006728403,0.344736147,D
9,82.589996,84.300003,82.110001,82.269997,5098800,79.543098,166.57000,10/24/18,TGT,-0.004838618,-0.004838527,0.837500905,D
10,83.18,84.580002,82.650002,83.830002,5311600,81.051407,168.41000,10/25/18,TGT,0.018962161,0.018962016,-0.047703151,E
11,83.720001,84.260002,81.809998,81.940002,6128800,79.224045,166.20000,10/26/18,TGT,-0.022545716,-0.022545628,0.545667076,D
12,82.779999,85.519997,82.510002,84.099998,5353000,81.312447,169.62000,10/29/18,TGT,0.026360709,0.026360702,0.073436775,D
13,84.800003,86.470001,84.550003,85.769997,5767600,82.927094,172.24000,10/30/18,TGT,0.019857317,0.019857301,-0.099199084,E
14,86.470001,86.470001,83.519997,83.629997,6674200,80.858032,170.10000,10/31/18,TGT,-0.024950374,-0.02495045,0.463126819,D
15,83.510002,84.379997,82.980003,84.230003,4388600,81.438141,168.61000,11/1/18,TGT,0.007174414,0.007174531,0.593422851,D
